,FEN,GameNumber,Move,MoveNumber,Side
0,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,1,d4,1,white
92,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,2,e4,1,white
184,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,3,d4,1,white
277,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,4,e4,1,white
355,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,5,d4,1,white
418,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,6,e4,1,white
539,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,7,d4,1,white
609,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,8,e4,1,white
652,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,9,d4,1,white
728,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,10,e4,1,white
770,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,11,e4,1,white
854,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,12,e4,1,white
941,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,13,d4,1,white
1112,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,14,e4,1,white
1208,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,15,d4,1,white
1305,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,16,e4,1,white
1402,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,17,d4,1,white
1506,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,18,e4,1,white
1585,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,19,d4,1,white
1643,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,20,e4,1,white
1680,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,21,e4,1,white
1795,rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,22,Nf3,1,white
1870,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,23,e4,1,white
2035,rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,24,Nf3,1,white
2078,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,25,e4,1,white
2130,rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,26,Nf3,1,white
2204,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,27,e4,1,white
2271,rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,28,Nf3,1,white
2346,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,29,e4,1,white
2458,rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,30,Nf3,1,white
2511,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,31,e4,1,white
2572,rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,32,Nf3,1,white
2693,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,33,e4,1,white
2820,rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,34,Nf3,1,white
2889,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,35,e4,1,white
2961,rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,36,Nf3,1,white
3064,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,37,e4,1,white
3204,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,38,d4,1,white
3254,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,39,e4,1,white
3332,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,40,d4,1,white
3386,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,41,e4,1,white
3499,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,42,d4,1,white
3549,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,43,d4,1,white
3635,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,44,d4,1,white
3690,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,45,e4,1,white
3761,rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,46,Nf3,1,white
3920,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,47,e4,1,white
4006,rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,48,Nf3,1,white
4063,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,49,e4,1,white
4110,rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,50,Nf3,1,white
4189,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,51,e4,1,white
4255,rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,52,Nf3,1,white
4332,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,53,e4,1,white
4373,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,54,d4,1,white
4485,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,55,e4,1,white
4593,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,56,d4,1,white
4675,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,57,e4,1,white
4736,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,58,e4,1,white
4799,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,59,e4,1,white
4863,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,60,e4,1,white
4918,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,61,e4,1,white
5027,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,62,e4,1,white
5120,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,63,e4,1,white
5175,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,64,e4,1,white
5223,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,65,e4,1,white
5290,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,66,e4,1,white
5350,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,67,e4,1,white
5440,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,68,e4,1,white
5492,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,69,e4,1,white
5568,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,70,e4,1,white
5633,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,71,e4,1,white
5726,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,72,e4,1,white
5801,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,73,e4,1,white
5878,rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,74,Nf3,1,white
5955,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,75,e4,1,white
6018,rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,76,Nf3,1,white
6099,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,77,e4,1,white
6192,rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,78,Nf3,1,white
6289,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,79,e4,1,white
6353,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,80,e4,1,white
6472,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,81,e4,1,white
6555,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,82,e4,1,white
6658,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,83,e4,1,white
6777,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,84,e4,1,white
6876,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,85,e4,1,white
7018,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,86,e4,1,white
7109,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,87,e4,1,white
7261,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,88,e4,1,white
7358,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,89,d4,1,white
7426,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,90,d4,1,white
7501,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,91,d4,1,white
7597,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,92,e4,1,white
7707,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,93,d4,1,white
7798,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,94,d4,1,white
7885,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,95,d4,1,white
7993,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,96,e4,1,white
8095,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,97,d4,1,white
8217,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,98,d4,1,white
8320,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,99,e4,1,white
8418,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,100,e4,1,white
8521,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,101,d4,1,white
8605,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,102,e4,1,white
8685,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,103,d4,1,white
8767,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,104,e4,1,white
8809,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,105,d4,1,white
8906,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,106,e4,1,white
9042,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,107,d4,1,white
9133,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,108,e4,1,white
9228,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,109,d4,1,white
9329,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,110,e4,1,white
9420,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,111,d4,1,white
9536,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,112,e4,1,white
9577,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,113,d4,1,white
9651,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,114,e4,1,white
9760,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,115,e4,1,white
9842,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,116,e4,1,white
9930,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,117,e4,1,white
10012,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,118,e4,1,white
10087,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,119,e4,1,white
10193,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,120,e4,1,white
10344,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,121,e4,1,white
10440,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,122,e4,1,white
10583,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,123,e4,1,white
10646,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,124,e4,1,white
10701,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,125,e4,1,white
10830,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,126,d4,1,white
10917,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,127,e4,1,white
11155,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,128,d4,1,white
11257,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,129,e4,1,white
11309,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,130,e4,1,white
11394,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,131,e4,1,white
11458,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,132,e4,1,white
11533,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,133,e4,1,white
11633,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,134,e4,1,white
11754,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,135,e4,1,white
11819,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,136,e4,1,white
11944,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,137,e4,1,white
12004,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,138,e4,1,white
12125,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,139,e4,1,white
12183,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,140,d4,1,white
12226,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,141,d4,1,white
12316,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,142,d4,1,white
12517,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,143,d4,1,white
12579,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,144,d4,1,white
12636,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,145,d4,1,white
12769,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,146,d4,1,white
12860,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,147,d4,1,white
13036,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,148,e4,1,white
13121,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,149,d4,1,white
13225,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,150,e4,1,white
13284,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,151,e4,1,white
13422,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,152,e4,1,white
13492,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,153,e4,1,white
13554,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,154,e4,1,white
13666,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,155,e4,1,white
13782,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,156,e4,1,white
13876,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,157,e4,1,white
13972,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,158,e4,1,white
14058,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,159,e4,1,white
14187,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,160,d4,1,white
14328,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,161,d4,1,white
14428,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,162,d4,1,white
14509,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,163,e4,1,white
14634,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,164,d4,1,white
14693,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,165,d4,1,white
14784,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,166,e4,1,white
14870,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,167,d4,1,white
14916,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,168,d4,1,white
14976,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,169,d4,1,white
15018,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,170,d4,1,white
15154,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,171,d4,1,white
15249,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,172,e4,1,white
15310,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,173,d4,1,white
15356,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,174,e4,1,white
15468,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,175,e4,1,white
15554,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,176,d4,1,white
15592,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,177,d4,1,white
15675,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,178,d4,1,white
15773,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,179,d4,1,white
15856,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,180,d4,1,white
15935,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,181,d4,1,white
16006,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,182,d4,1,white
16090,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,183,d4,1,white
16158,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,184,d4,1,white
16198,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,185,d4,1,white
16330,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,186,d4,1,white
16411,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,187,d4,1,white
16465,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,188,d4,1,white
16515,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,189,d4,1,white
16574,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,190,d4,1,white
16621,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,191,d4,1,white
16739,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,192,d4,1,white
16794,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,193,d4,1,white
16836,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,194,d4,1,white
16922,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,195,d4,1,white
16986,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,196,d4,1,white
17158,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,197,d4,1,white
17253,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,198,d4,1,white
17334,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,199,d4,1,white
17414,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,200,d4,1,white
17457,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,201,d4,1,white
17533,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,202,d4,1,white
17618,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,203,d4,1,white
17757,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,204,d4,1,white
17837,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,205,d4,1,white
17920,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,206,d4,1,white
18045,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,207,d4,1,white
18081,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,208,d4,1,white
18244,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,209,d4,1,white
18295,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,210,d4,1,white
18396,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,211,d4,1,white
18536,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,212,d4,1,white
18611,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,213,d4,1,white
18706,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,214,d4,1,white
18801,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,215,d4,1,white
18870,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,216,d4,1,white
18930,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,217,d4,1,white
18990,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,218,d4,1,white
19089,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,219,d4,1,white
19215,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,220,d4,1,white
19327,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,221,d4,1,white
19395,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,222,d4,1,white
19536,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,223,d4,1,white
19624,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,224,d4,1,white
19744,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,225,d4,1,white
19811,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,226,e4,1,white
19912,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,227,d4,1,white
20065,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,228,e4,1,white
20160,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,229,d4,1,white
20257,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,230,e4,1,white
